Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Line_21,Line_22,Line_23,Line_24,Line_25,Line_26,Line_27,Line_28,Line_29,Line_30,Mean,Std
12,119,110.724136352539,107,108.586204528809,124.448272705078,127.75862121582,122.517242431641,110.103446960449,116.310340881348,123.75862121582,119.620697021484,111.965515136719,105.344825744629,101.206901550293,101,103.068969726562,107,107,107,107,107,104.103446960449,101,101,101,99.5517272949219,95.4137954711914,102.448272705078,110.724136352539,119,109.388505808512,8.50746993917438
12.6,119,119,121.275863647461,125.344825744629,128.793106079102,119.689651489258,107,107,107,107,107,114.034484863281,119,119,119,121.068969726562,124.379302978516,111.965515136719,104.517242431641,101,101,98.1034469604492,95,95,98.3103485107422,101,101,104.724136352539,107,107,110.340229797363,9.70905075001699
13.2,119,119,121.275863647461,125.344825744629,128.793106079102,125.068969726562,117.344825744629,109.068969726562,107,107,107,114.034484863281,119,119,119,119,119,119,114.034484863281,107,107,107,105.965515136719,101.827583312988,110.931037902832,119,119,107.827590942383,101,101,113.850575256348,7.65658302023574
13.8,130,126.551727294922,122.724136352539,119,119,113.620697021484,106.172409057617,102.034484863281,101,102.24137878418,106.37931060791,117.551727294922,120.034477233887,107.62068939209,95.2068939208984,91.0689697265625,95.4137878417969,103.689659118652,107,108.241386413574,116.517242431641,121.896545410156,123.965515136719,119.827583312988,122.310348510742,125,125,110.103446960449,101,101,112.039080556234,10.7688702601211
14.4,130,122.413795471191,114.448272705078,107.827583312988,116.103454589844,113.620697021484,106.172409057617,102.034484863281,101,102.24137878418,106.37931060791,114.034484863281,115.689651489258,107.413787841797,103.068969726562,101,101,101,101,101.620697021484,105.75862121582,115.689651489258,123.965515136719,119.827583312988,119,116.103446960449,107.827583312988,103.275863647461,99.1379318237305,95,109.121839141846,8.68803964693961
15,119,110.724136352539,104.724136352539,101.413795471191,105.551719665527,112.37931060791,117.344825744629,109.068969726562,107,107,107,114.034484863281,115.689651489258,107.413787841797,103.068969726562,101,101,101,101,101.620697021484,105.75862121582,107,107,107,107,105.551719665527,101.413795471191,101,101,101,106.358620707194,5.18832681309504
15.6,119,119,121.275863647461,124.586204528809,120.448280334473,113.620697021484,106.172409057617,102.034484863281,104.103446960449,109.482757568359,117.75862121582,122.517242431641,123.344818115234,119.206901550293,107.206901550293,103.068969726562,107.413787841797,115.689651489258,119,117.75862121582,109.482757568359,107,109.068962097168,117.344825744629,109.068969726562,102.448272705078,106.586204528809,118.172409057617,119.413795471191,107,113.275861867269,7.02026951090172
16.2,125,128.448272705078,130,129.655181884766,126.206893920898,116.931030273438,106.172409057617,102.034484863281,104.103446960449,109.482757568359,117.75862121582,122.517242431641,123.344818115234,119.206901550293,119,119,119,119,114.034484863281,107,107,112.793106079102,119,119,109.068969726562,102.448272705078,106.586204528809,114.448272705078,113.413795471191,101,115.421838887533,8.47595380615541
16.8,119,119,119,119,119,113.620697021484,108.655174255371,116.931037902832,119,119,119,111.965515136719,107,107,114.86206817627,119,118.586204528809,110.310348510742,104.517242431641,100.37931060791,96.2413787841797,97.8965454101562,101,101,97.6896514892578,96.4482727050781,100.586204528809,101,99.1379318237305,95,109.027586110433,9.00406313765824
17.4,101,105.13793182373,102.448272705078,95.4137954711914,99.5517272949219,101,100.172409057617,96.0344772338867,101.206893920898,107,107,103.482757568359,105.965515136719,118.37931060791,122.931037902832,122.931037902832,118.586204528809,110.310348510742,104.517242431641,100.37931060791,96.2413787841797,97.8965454101562,102.034484863281,106.172416687012,103.689651489258,101,101,101,102.86206817627,107,104.744827270508,7.28605649780142
18,107,102.86206817627,98.7241363525391,95.4137954711914,99.5517272949219,103.689651489258,107,107,116.310340881348,123.75862121582,119.620697021484,111.965515136719,110.310348510742,118.586212158203,122.931037902832,122.931037902832,118.586204528809,110.310348510742,107,107,107,107,107,107,107,105.551719665527,101.413795471191,101,99.1379318237305,95,108.255172983805,8.01637249179503
18.6,119,110.724136352539,111.551719665527,119,119,113.620697021484,107,107,107,107,107,103.482757568359,102.655174255371,106.793098449707,103.068969726562,101,101.206893920898,105.344833374023,104.517242431641,100.37931060791,96.2413787841797,100.793098449707,107,107,103.689651489258,102.448272705078,106.586204528809,107,105.13793182373,101,106.441379038493,5.55750360051428
19.2,119,119,119,117.344833374023,100.793098449707,97.6896514892578,101,101,97.8965454101562,95,95,102.034484863281,105.344825744629,101.206901550293,97.0689697265625,97.0689697265625,100.793106079102,96.6551666259766,95,96.2413787841797,104.517242431641,115.689651489258,123.965515136719,119.827583312988,112.37931060791,105.551719665527,101.413795471191,101,102.86206817627,107,104.944827270508,8.89264072449083
19.8,107,115.275863647461,114.448272705078,106.172416687012,97.8965454101562,100.37931060791,108.655174255371,116.931037902832,112.793106079102,107,107,114.034484863281,114.034477233887,101.62068939209,101,101,100.586204528809,92.3103485107422,93.9655227661133,101.620697021484,105.75862121582,107,105.965515136719,101.827583312988,104.310348510742,107,107,99.5517272949219,96.8620681762695,101,105.000000508626,6.30489392791579
20.4,107,107,104.724136352539,100.586212158203,96.4482727050781,97.6896514892578,101.827583312988,105.965515136719,113.206893920898,116.517242431641,108.24137878418,107,107,107,103.068969726562,103.068969726562,107,107,107,106.379318237305,102.24137878418,103.896545410156,107,107,100.37931060791,96.4482727050781,100.586204528809,93.5517272949219,90.8620681762695,95,103.689655049642,5.63003046899982
21,107,107,107,106.586204528809,102.448272705078,103.689651489258,107,107,107,107,107,103.482757568359,102.655174255371,106.793098449707,114.86206817627,119,118.37931060791,105.965522766113,101,101,101,101,101,101,94.3793106079102,90.4482727050781,94.5862121582031,98.7241363525391,101,101,104.199999745687,6.18157334023252
21.6,107,119.413795471191,118.172409057617,106.586204528809,102.448272705078,101,101,101,104.103446960449,107,107,103.482757568359,101,101,112.793106079102,114.86206817627,107,107,107,107,107,107,105.965515136719,101.827583312988,97.6896514892578,95,95,98.7241363525391,101,101,104.868964894613,5.88013881288174
22.2,119,106.586212158203,101,100.586212158203,96.4482727050781,95,95,95,98.1034545898438,98.5172424316406,90.2413787841797,92.5172424316406,98.3103408813477,106.586204528809,107,107,106.793098449707,102.655174255371,103.482757568359,105.75862121582,97.4827575683594,92.1034393310547,90.0344772338867,94.1724166870117,95,96.4482727050781,100.586204528809,101,99.1379318237305,95,99.5517237345378,6.30739157467032
22.8,119,110.724136352539,111.551719665527,118.172416687012,109.896545410156,101.62068939209,95,95,95,93.7586212158203,89.6206893920898,96.0344848632812,101,101,101,107.206901550293,118.586204528809,110.310348510742,104.517242431641,100.37931060791,96.2413787841797,92.1034393310547,91.068962097168,99.3448257446289,101,99.5517272949219,95.4137954711914,102.448272705078,103.275863647461,95,101.82758585612,8.14806221038591
23.4,107,102.86206817627,103.275856018066,106.586204528809,102.448272705078,98.3103485107422,94.1724166870117,90.0344848632812,95.2068939208984,102.24137878418,106.37931060791,99.9655151367188,95,95,98.931037902832,101,100.793106079102,96.6551666259766,97.4827575683594,101,101,98.1034469604492,96.0344848632812,100.172409057617,97.6896514892578,93.5517196655273,89.4137878417969,96.4482727050781,101,101,98.9586196899414,4.37402575008187
24,101,105.13793182373,104.724136352539,100.586212158203,96.4482727050781,97.6896514892578,101,101,101,97.2758636474609,84.8620681762695,86.5172424316406,92.3103408813477,100.586212158203,93.1379318237305,91.0689697265625,95.2068939208984,99.3448333740234,98.5172424316406,95.6206970214844,99.7586212158203,98.1034469604492,93.9655151367188,89.8275833129883,92.3103485107422,93.5517196655273,89.4137878417969,92.7241363525391,96.8620681762695,101,96.3517242431641,5.05587694292639
24.6,119,123.137939453125,118.172409057617,107,107,107,106.172409057617,102.034484863281,101,98.5172424316406,90.2413787841797,85.4827575683594,83,83,86.9310302734375,91.0689697265625,95,95,95,95,95,92.1034393310547,89,89,89,90.4482727050781,94.5862121582031,98.7241363525391,99.1379318237305,95,97.3586204528809,10.2428174807685
25.2,101,105.13793182373,111.551719665527,117.75862121582,105.344825744629,98.3103485107422,95,95,98.1034545898438,99.7586212158203,95.6206893920898,91.4827575683594,90.6551666259766,94.7931060791016,95,97.0689697265625,101,101,101,100.37931060791,96.2413787841797,97.8965454101562,102.034484863281,106.172416687012,100.37931060791,93.5517196655273,89.4137878417969,96.4482727050781,99.1379318237305,95,99.0413790384928,5.95833718850248
25.8,95,103.275863647461,107,106.586204528809,102.448272705078,98.3103485107422,95.8275909423828,99.9655227661133,104.103446960449,107,107,103.482757568359,97.6896514892578,89.4137878417969,89,93.1379318237305,101.62068939209,114.034484863281,119,117.75862121582,109.482757568359,104.103446960449,99.9655151367188,95.8275909423828,91.6896514892578,89,89,92.7241363525391,93.1379318237305,89,100.186206817627,8.50559862515285
26.4,89,93.1379318237305,95,95,95,92.3103485107422,89,89,89,91.4827575683594,99.7586212158203,104.517242431641,102.034484863281,89.6206893920898,89,91.0689697265625,95,95,92.5172424316406,89.6206893920898,93.7586212158203,95,96.0344848632812,100.172409057617,104.310348510742,104.103439331055,95.8275909423828,91.2758636474609,87.1379318237305,83,93.8896555582682,5.34199493634945
27,107,102.86206817627,98.7241363525391,95.4137954711914,99.5517272949219,101,100.172409057617,96.0344772338867,95,93.7586212158203,89.6206893920898,89,92.3103408813477,100.586212158203,104.931030273438,100.793106079102,89,89,89,89,89,94.7931060791016,101,101,101,99.5517272949219,95.4137954711914,91.2758636474609,89,89,95.79310353597,5.62454362623316
